Begin IJ Block
1   7   1   23   0.0001568384
1   7   1   25   0.0005421783
1   7   1   27   0.0000000000
1   7   1   28   0.0001260212
1   7   1   29   0.0000000000
1   7   1   30   -0.0000000000
1   7   2   16   -0.0000000000
1   7   2   17   0.0011192458
1   7   2   18   -0.0000000000
1   7   2   20   -0.0006636402
1   7   2   21   -0.0000000000
1   7   2   22   -0.0024997589
1   7   2   23   0.0000000000
1   7   2   25   -0.0000000000
1   7   2   27   -0.0002281231
1   7   2   28   -0.0000000000
1   7   2   29   -0.0005014409
1   7   2   30   -0.0014291442
1   7   3   16   -0.0012151633
1   7   3   17   -0.0000000000
1   7   3   18   0.0003141230
1   7   3   20   -0.0000000000
1   7   3   21   -0.0022597081
1   7   3   22   -0.0000000000
1   7   3   23   -0.0005291333
1   7   3   25   0.0007262153
1   7   3   27   0.0000000000
1   7   3   28   -0.0002789622
1   7   3   29   0.0000000000
1   7   3   30   -0.0000000000
1   7   4   19   0.0032891934
1   7   4   24   0.0000000000
1   7   4   26   -0.0007912160
1   7   5   16   -0.0000000000
1   7   5   17   -0.0007547186
1   7   5   18   -0.0000000000
1   7   5   20   0.0004976660
1   7   5   21   -0.0000000000
1   7   5   22   0.0017031523
1   7   5   23   0.0000000000
1   7   5   25   -0.0000000001
1   7   5   27   0.0002053853
1   7   5   28   -0.0000000000
1   7   5   29   0.0003648620
1   7   5   30   0.0010591682
1   7   6   16   0.0015113063
1   7   6   17   -0.0000000000
1   7   6   18   -0.0018329981
1   7   6   20   -0.0000000000
1   7   6   21   0.0036292536
1   7   6   22   0.0000000000
1   7   6   23   0.0006012092
1   7   6   25   0.0004885143
1   7   6   27   0.0000000000
1   7   6   28   0.0004423953
1   7   6   29   0.0000000000
1   7   6   30   0.0000000000
1   7   7   16   -0.0000000000
1   7   7   17   -0.0027265432
1   7   7   18   -0.0000000000
1   7   7   20   0.0016347226
1   7   7   21   0.0000000000
1   7   7   22   0.0061089254
1   7   7   23   0.0000000000
1   7   7   25   -0.0000000001
1   7   7   27   0.0005747234
1   7   7   28   -0.0000000000
1   7   7   29   0.0012386100
1   7   7   30   0.0035314084
1   7   8   16   0.0002922275
1   7   8   17   0.0000000000
1   7   8   18   -0.0004775958
1   7   8   20   0.0000000000
1   7   8   21   0.0007418715
1   7   8   22   0.0000000000
1   7   8   23   0.0001793828
1   7   8   25   0.0001997389
1   7   8   27   -0.0000000000
1   7   8   28   0.0000612013
1   7   8   29   -0.0000000000
1   7   8   30   0.0000000000
1   7   9   19   0.0000000000
1   7   9   24   0.0000636397
1   7   9   26   -0.0000000000
1   7   10   16   0.0007372998
1   7   10   17   -0.0000000000
1   7   10   18   0.0004640945
1   7   10   20   -0.0000000001
1   7   10   21   0.0010412597
1   7   10   22   -0.0000000000
1   7   10   23   0.0003302519
1   7   10   25   -0.0010188669
1   7   10   27   0.0000000001
1   7   10   28   0.0001792771
1   7   10   29   0.0000000001
1   7   10   30   -0.0000000000
1   7   11   19   -0.0009883037
1   7   11   24   -0.0000000000
1   7   11   26   0.0002904021
1   7   12   16   0.0000000000
