Begin IJ Block
1   7   14   30   0.0005502814
1   7   15   17   0.0025629302
1   7   15   18   -0.0000000000
1   7   15   19   0.0013786070
1   7   15   22   -0.0053674065
1   7   15   26   0.0000000000
1   7   15   27   0.0007657396
1   7   15   28   -0.0000000000
1   7   15   29   0.0007969576
1   7   15   30   0.0031366802
1   8   1   17   0.0001845286
1   8   1   19   0.0006951543
1   8   1   22   -0.0007282354
1   8   1   27   -0.0001377193
1   8   1   28   0.0000000000
1   8   1   29   -0.0003692147
1   8   1   30   0.0015874194
1   8   2   16   -0.0010041915
1   8   2   18   -0.0004189669
1   8   2   21   -0.0003816799
1   8   2   23   -0.0011850255
1   8   2   26   -0.0019559492
1   8   2   28   -0.0004871450
1   8   3   17   0.0002624461
1   8   3   19   -0.0005309070
1   8   3   22   -0.0003795120
1   8   3   27   0.0003773568
1   8   3   28   -0.0000000000
1   8   3   29   0.0007074745
1   8   3   30   -0.0008575154
1   8   4   16   -0.0005306517
1   8   4   18   -0.0003190021
1   8   4   21   -0.0001568964
1   8   4   23   -0.0006271071
1   8   4   26   -0.0011351894
1   8   4   28   -0.0001889475
1   8   5   24   0.0014767565
1   8   6   17   0.0001704997
1   8   6   19   0.0014940656
1   8   6   22   -0.0009970123
1   8   6   27   -0.0004961643
1   8   6   28   0.0000000000
1   8   6   29   -0.0010311892
1   8   6   30   0.0031605878
1   8   7   16   0.0023023507
1   8   7   18   0.0010272906
1   8   7   21   0.0008792422
1   8   7   23   0.0026784934
1   8   7   26   0.0045217331
1   8   7   27   -0.0000000000
1   8   7   28   0.0010773232
1   8   7   29   0.0000000000
1   8   8   17   -0.0000169128
1   8   8   19   0.0005406304
1   8   8   22   -0.0002559849
1   8   8   27   -0.0001569827
1   8   8   28   0.0000000000
1   8   8   29   -0.0004280902
1   8   8   30   0.0011959084
1   8   9   20   0.0001360033
1   8   9   25   0.0000000707
1   8   10   24   0.0003768185
1   8   11   17   0.0003864919
1   8   11   19   -0.0000285150
1   8   11   22   -0.0009437338
1   8   11   27   0.0003094538
1   8   11   28   -0.0000000000
1   8   11   29   0.0004293933
1   8   11   30   0.0003483549
1   8   12   16   -0.0003967245
1   8   12   18   -0.0001399141
1   8   12   21   -0.0001906731
1   8   12   23   -0.0004351125
1   8   12   26   -0.0007257636
1   8   12   28   -0.0002099485
1   8   13   16   0.0000000000
1   8   13   17   -0.0000008314
1   8   13   19   0.0005492587
1   8   13   22   -0.0002424737
1   8   13   23   0.0000000000
1   8   13   26   0.0000000000
1   8   13   27   -0.0001987595
1   8   13   28   0.0000000000
1   8   13   29   -0.0004545943
1   8   13   30   0.0011319383
1   8   14   16   -0.0004351256
1   8   14   18   -0.0000852741
1   8   14   19   0.0000000000
1   8   14   21   -0.0002275702
1   8   14   23   -0.0004956201
1   8   14   26   -0.0007397228
1   8   14   28   -0.0002760373
1   8   14   29   -0.0000000000
1   8   14   30   0.0000000000
1   8   15   16   -0.0014125961
1   8   15   18   -0.0008871787
1   8   15   21   -0.0003646691
1   8   15   23   -0.0016512000
1   8   15   26   -0.0030815972
1   8   15   28   -0.0005277589
1   9   1   16   0.0005410325
1   9   1   18   0.0012922324
1   9   1   19   0.0000000000
1   9   1   21   -0.0000310187
1   9   1   23   -0.0005969721
1   9   1   26   0.0022494077
1   9   1   28   -0.0001284749
1   9   1   29   -0.0000000000
1   9   2   17   -0.0005604832
1   9   2   19   -0.0011351557
1   9   2   22   0.0014773222
1   9   2   27   0.0000536592
1   9   2   28   -0.0000000000
1   9   2   29   0.0005237600
1   9   2   30   -0.0023430938
1   9   3   16   -0.0006022021
1   9   3   18   -0.0007598227
1   9   3   21   -0.0005029869
1   9   3   23   0.0004604502
1   9   3   26   -0.0016526510
1   9   3   28   -0.0002160181
1   9   4   17   -0.0003971002
1   9   4   19   -0.0006772464
1   9   4   22   0.0009889658
1   9   4   26   -0.0000000000
1   9   4   27   -0.0000310352
1   9   4   29   0.0002570180
1   9   4   30   -0.0014097109
1   9   5   20   -0.0017333033
1   9   5   25   -0.0019504561
1   9   6   16   0.0013472282
1   9   6   18   0.0025919554
1   9   6   19   0.0000000000
1   9   6   21   0.0003974453
1   9   6   23   -0.0012510466
1   9   6   26   0.0047850878
1   9   6   28   -0.0000620790
1   9   6   29   -0.0000000000
1   9   7   17   0.0013120360
1   9   7   18   -0.0000000000
1   9   7   19   0.0025861580
1   9   7   22   -0.0034396829
1   9   7   26   -0.0000000000
1   9   7   27   -0.0000946581
1   9   7   28   0.0000000000
1   9   7   29   -0.0011686803
1   9   7   30   0.0053713014
1   9   8   16   0.0004466046
1   9   8   18   0.0011415575
1   9   8   19   0.0000000000
1   9   8   21   -0.0000685561
1   9   8   23   -0.0005573259
1   9   8   26   0.0019764198
1   9   8   28   -0.0000536753
1   9   9   24   0.0000046629
1   9   10   20   -0.0006453158
1   9   10   25   -0.0005956657
1   9   11   16   -0.0001812048
1   9   11   18   0.0001912385
1   9   11   21   -0.0005250213
1   9   11   23   0.0000685908
1   9   11   26   0.0000201573
1   9   11   28   -0.0003070056
1   9   11   29   -0.0000000000
1   9   11   30   -0.0000000000
1   9   12   17   -0.0001809306
1   9   12   19   -0.0004200928
1   9   12   22   0.0004996205
1   9   12   26   -0.0000000000
1   9   12   27   0.0000462615
1   9   12   29   0.0002143299
1   9   12   30   -0.0008593821
1   9   13   16   0.0004967444
1   9   13   18   0.0009174901
1   9   13   19   0.0000000000
1   9   13   21   0.0001548810
1   9   13   23   -0.0004292397
1   9   13   26   0.0017304278
1   9   13   28   0.0000210498
1   9   13   30   0.0000000000
1   9   14   16   0.0000000000
1   9   14   17   -0.0001278086
1   9   14   18   0.0000000000
1   9   14   19   -0.0003890396
1   9   14   22   0.0003944770
1   9   14   26   0.0000000000
1   9   14   27   0.0000767167
1   9   14   29   0.0002361656
1   9   14   30   -0.0007904097
1   9   15   17   -0.0010812677
1   9   15   18   0.0000000000
1   9   15   19   -0.0018142506
1   9   15   22   0.0027078299
1   9   15   27   -0.0000690137
1   9   15   28   -0.0000000000
1   9   15   29   0.0006901416
1   9   15   30   -0.0038296252
1   10   1   20   0.0004641272
1   10   1   25   0.0008009413
1   10   2   24   0.0009132838
1   10   3   20   0.0004229854
1   10   3   25   -0.0005938483
1   10   4   24   0.0005000715
1   10   5   16   -0.0023296292
1   10   5   18   -0.0026512728
1   10   5   19   -0.0000000000
1   10   5   21   -0.0032231120
1   10   5   23   -0.0014072432
1   10   5   26   -0.0029560059
